Member_number,Date,itemDescription
1808,2015-07-21,tropical fruit
2552,2015-01-05,whole milk
2300,2015-09-19,pip fruit
1187,2015-12-12,other vegetables
3037,2015-02-01,whole milk
4941,2015-02-14,rolls/buns
4501,2015-05-08,other vegetables
3803,2015-12-23,pot plants
2762,2015-03-20,whole milk
4119,2015-02-12,tropical fruit
1340,2015-02-24,citrus fruit
2193,2015-04-14,beef
1997,2015-07-21,frankfurter
4546,2015-09-03,chicken
4736,2015-07-21,butter
1959,2015-03-30,fruit/vegetable juice
1974,2015-05-03,packaged fruit/vegetables
2421,2015-09-02,chocolate
1513,2015-08-03,specialty bar
1905,2015-07-07,other vegetables
2810,2015-09-08,butter milk
2867,2015-11-12,whole milk
3962,2015-09-18,tropical fruit
1088,2015-11-30,tropical fruit
4976,2015-07-17,bottled water
4056,2015-06-12,yogurt
3611,2015-02-13,sausage
1420,2015-01-14,other vegetables
4286,2015-03-08,brown bread
4918,2015-01-27,yogurt
4783,2015-10-22,hamburger meat
3709,2015-10-26,root vegetables
4289,2015-10-08,pork
1559,2015-10-03,beef
2900,2015-04-11,pastry
1905,2015-02-21,fruit/vegetable juice
3527,2015-09-29,canned beer
1495,2015-01-09,root vegetables
3558,2015-04-03,citrus fruit
3128,2015-04-20,sausage
1863,2015-08-04,tropical fruit
3841,2015-07-19,berries
3903,2015-10-06,canned beer
2658,2015-10-16,butter milk
4272,2015-06-06,coffee
1120,2015-09-26,pastry
2676,2015-08-15,rolls/buns
1697,2015-05-21,misc. beverages
2507,2015-08-25,root vegetables
4620,2015-03-11,sausage
3365,2015-02-01,canned beer
2978,2015-06-05,ham
2910,2015-07-28,turkey
1061,2015-09-05,whole milk
3276,2015-04-03,whole milk
1326,2015-06-19,packaged fruit/vegetables
3023,2015-07-28,rolls/buns
2185,2015-10-11,ham
3552,2015-06-16,rolls/buns
1967,2015-01-20,other vegetables
4708,2015-03-20,sausage
2874,2015-02-15,sausage
4177,2015-04-13,frankfurter
1663,2015-02-07,rolls/buns
2632,2015-03-02,whole milk
1377,2015-03-14,curd cheese
4162,2015-12-22,red/blush wine
2270,2015-07-01,sausage
4829,2015-11-03,tropical fruit
3811,2015-04-14,red/blush wine
4766,2015-09-29,whole milk
2436,2015-04-12,frankfurter
3860,2015-05-05,whole milk
4875,2015-05-12,frozen potato products
1587,2015-07-01,other vegetables
4038,2015-07-08,citrus fruit
4750,2015-09-21,flour
1199,2015-12-10,sugar
1603,2015-09-30,frozen meals
3111,2015-01-31,chocolate
3894,2015-12-13,root vegetables
1456,2015-09-18,root vegetables
2022,2015-03-04,herbs
2505,2015-11-30,bottled water
4851,2015-12-20,sausage
4293,2015-08-04,coffee
2775,2015-11-06,pork
3693,2015-02-18,berries
1202,2015-07-22,soda
3699,2015-08-23,berries
4152,2015-04-15,fruit/vegetable juice
4155,2015-01-26,citrus fruit
4010,2015-12-29,pork
4389,2015-10-20,detergent
3746,2015-08-17,grapes
2560,2015-05-17,sausage
1503,2015-07-25,chicken
2555,2015-12-23,whole milk
3645,2015-12-12,citrus fruit
3886,2015-09-11,soda
2932,2015-03-20,sausage
1711,2015-06-18,frankfurter
4291,2015-12-08,sausage
1143,2015-04-25,soda
4564,2015-07-08,rolls/buns
3337,2015-05-14,beef
4931,2015-05-04,whole milk
2623,2015-10-10,processed cheese
4581,2015-04-03,tropical fruit
2635,2015-06-11,frankfurter
1095,2015-10-30,packaged fruit/vegetables
2990,2015-05-23,whole milk
2426,2015-06-05,berries
4555,2015-11-07,citrus fruit
3635,2015-09-04,tropical fruit
3058,2015-05-18,hamburger meat
4391,2015-03-26,hamburger meat
1306,2015-06-23,whole milk
1024,2015-08-10,fish
1295,2015-07-23,frankfurter
1661,2015-06-01,packaged fruit/vegetables
4591,2015-05-15,pastry
3169,2015-06-14,other vegetables
3915,2015-05-21,misc. beverages
1127,2015-01-14,frankfurter
4828,2015-08-08,sparkling wine
3683,2015-06-10,specialty bar
1971,2015-09-18,sausage
3014,2015-11-11,curd cheese
3779,2015-09-15,frankfurter
2489,2015-05-04,whole milk
3564,2015-06-27,newspapers
4092,2015-09-30,berries
3221,2015-01-13,curd
1279,2015-09-06,tropical fruit
2581,2015-08-22,soda
2295,2015-02-25,rolls/buns
4760,2015-02-22,canned beer
3649,2015-01-16,canned beer
1075,2015-11-19,frankfurter
3987,2015-08-19,other vegetables
4106,2015-08-25,whole milk
4338,2015-06-24,whole milk
4166,2015-11-06,citrus fruit
1211,2015-03-10,frankfurter
3954,2015-01-21,frankfurter
3928,2015-07-18,butter milk
3827,2015-09-30,hamburger meat
4699,2015-02-08,pasta
4747,2015-06-08,other vegetables
3028,2015-06-09,sausage
2851,2015-03-16,rolls/buns
4417,2015-02-25,grapes
3822,2015-03-07,root vegetables
2288,2015-05-31,coffee
2184,2015-06-30,popcorn
4554,2015-08-27,whole milk
3361,2015-03-05,tropical fruit
2999,2015-04-17,beef
2614,2015-06-25,whole milk
4064,2015-06-05,frankfurter
3567,2015-10-04,tropical fruit
2587,2015-05-07,canned beer
3783,2015-06-17,finished products
1923,2015-02-14,beverages
4835,2015-02-19,hamburger meat
1514,2015-08-24,whole milk
3154,2015-06-22,finished products
1313,2015-12-25,other vegetables
2794,2015-07-18,ham
2359,2015-04-09,other vegetables
2238,2015-03-09,curd
3795,2015-01-17,bottled beer
3724,2015-11-26,curd
1152,2015-03-05,whole milk
4559,2015-03-16,whole milk
3922,2015-02-27,dessert
1709,2015-04-22,sausage
2219,2015-04-17,other vegetables
2206,2015-10-17,ham
1752,2015-04-06,other vegetables
3942,2015-11-10,other vegetables
3296,2015-08-17,soda
2257,2015-02-05,herbs
4313,2015-07-28,frankfurter
2001,2015-08-21,rolls/buns
2449,2015-07-08,curd
4914,2015-04-12,frankfurter
2764,2015-07-24,other vegetables
4187,2015-05-09,dog food
1392,2015-04-20,specialty bar
3427,2015-04-28,curd
1411,2015-02-20,frankfurter
3390,2015-11-14,soda
4787,2015-08-01,beef
3310,2015-01-17,canned beer
1782,2015-10-10,pork
3375,2015-04-26,frankfurter
2760,2015-01-07,sausage
4249,2015-09-13,canned beer
2904,2015-06-06,specialty chocolate
4090,2015-02-26,curd
3060,2015-07-05,canned beer
3768,2015-10-07,whole milk
1232,2015-01-21,rolls/buns
1360,2015-10-23,pork
1107,2015-10-01,citrus fruit
2865,2015-11-04,pot plants
2958,2015-06-14,rolls/buns
2448,2015-07-12,butter
1222,2015-09-24,condensed milk
2943,2015-06-20,sausage
2270,2015-08-11,whole milk
3812,2015-07-21,sausage
1482,2015-11-22,beverages
4720,2015-02-22,beverages
1344,2015-09-04,bottled water
2397,2015-10-04,newspapers
4182,2015-05-12,cleaner
4487,2015-07-10,sausage
3467,2015-12-24,newspapers
2443,2015-11-15,sausage
2749,2015-01-27,misc. beverages
4389,2015-04-13,white wine
1674,2015-12-04,sausage
4262,2015-10-16,meat
2082,2015-04-07,frankfurter
4494,2015-01-06,ice cream
2460,2015-09-28,canned beer
4509,2015-11-29,tropical fruit
2267,2015-07-03,meat
4891,2015-09-05,whole milk
3962,2015-09-20,sausage
4964,2015-07-18,frankfurter
2914,2015-11-30,meat
2808,2015-05-05,root vegetables
1085,2015-08-15,root vegetables
3808,2015-08-18,whole milk
4149,2015-01-07,citrus fruit
2331,2015-06-05,citrus fruit
4475,2015-04-03,other vegetables
2761,2015-04-25,citrus fruit
2620,2015-12-14,sausage
3206,2015-10-13,frankfurter
1226,2015-04-13,hard cheese
1395,2015-03-07,cream cheese 
2465,2015-06-07,turkey
3572,2015-07-09,pork
4387,2015-05-08,whole milk
1555,2015-03-27,rolls/buns
1181,2015-11-16,sausage
2814,2015-05-11,ice cream
2794,2015-09-16,liquor
2912,2015-01-28,pip fruit
4667,2015-01-12,root vegetables
2235,2015-10-25,soda
2353,2015-05-02,soda
3449,2015-03-08,sausage
1058,2015-11-10,root vegetables
1027,2015-05-17,pork
3302,2015-05-22,pork
2229,2015-05-30,chocolate
2188,2015-08-15,fruit/vegetable juice
1547,2015-04-18,pickled vegetables
1649,2015-06-30,bottled water
3254,2015-09-10,frankfurter
2818,2015-11-07,tropical fruit
2703,2015-05-08,canned beer
3332,2015-01-31,root vegetables
2473,2015-07-01,meat
2810,2015-12-30,frankfurter
1033,2015-04-22,tropical fruit
4222,2015-05-27,tropical fruit
3679,2015-09-21,citrus fruit
2212,2015-08-27,hamburger meat
1507,2015-06-22,chicken
2870,2015-01-21,chicken
3429,2015-04-26,frankfurter
4148,2015-04-09,canned beer
2970,2015-12-30,turkey
2013,2015-08-30,packaged fruit/vegetables
3967,2015-05-30,pasta
2885,2015-05-15,citrus fruit
3935,2015-07-02,sausage
3283,2015-05-01,whole milk
3268,2015-11-06,canned beer
3677,2015-04-30,citrus fruit
3495,2015-06-27,liquor (appetizer)
1410,2015-10-04,citrus fruit
2440,2015-06-06,sausage
4088,2015-01-13,chicken
2469,2015-09-23,hamburger meat
4229,2015-03-06,sausage
2728,2015-08-02,beef
4694,2015-01-25,citrus fruit
2836,2015-12-29,UHT-milk
1311,2015-02-12,candy
1760,2015-01-23,newspapers
3656,2015-03-02,beef
3720,2015-05-28,sausage
2996,2015-09-26,frankfurter
1949,2015-07-22,canned beer
4498,2015-02-11,bottled beer
2447,2015-12-28,onions
1952,2015-03-23,tropical fruit
4099,2015-01-27,bottled water
1804,2015-03-12,beef
1510,2015-05-16,sausage
2879,2015-04-18,hair spray
4899,2015-03-12,chicken
4326,2015-09-29,pork
1670,2015-05-17,ice cream
1117,2015-05-24,meat
1346,2015-04-03,other vegetables
1178,2015-11-15,bottled water
1649,2015-06-25,tropical fruit
4651,2015-06-21,photo/film
4243,2015-04-02,sausage
4429,2015-07-21,grapes
4645,2015-07-25,domestic eggs
4019,2015-07-24,rolls/buns
4459,2015-04-26,tropical fruit
3006,2015-12-27,chicken
1834,2015-09-17,frankfurter
3236,2015-07-04,berries
1765,2015-03-11,margarine
3855,2015-03-09,tropical fruit
4392,2015-11-28,ham
3330,2015-07-26,hamburger meat
1723,2015-09-02,yogurt
4110,2015-03-30,soda
2600,2015-01-28,yogurt
2946,2015-10-07,soda
2426,2015-09-08,bottled water
4170,2015-05-03,sausage
1109,2015-04-06,citrus fruit
3429,2015-01-04,shopping bags
2055,2015-02-04,newspapers
2480,2015-09-20,frankfurter
2441,2015-05-30,sausage
1054,2015-10-04,frankfurter
4818,2015-01-11,salt
3379,2015-01-21,oil
3939,2015-02-10,curd
1367,2015-08-05,other vegetables
1043,2015-01-10,citrus fruit
2231,2015-10-17,frankfurter
3235,2015-12-28,root vegetables
4554,2015-07-16,tropical fruit
3245,2015-01-24,beef
2996,2015-05-19,berries
2507,2015-01-05,canned beer
4186,2015-10-25,whipped/sour cream
3929,2015-04-28,root vegetables
3760,2015-11-22,whole milk
4928,2015-08-18,beef
4217,2015-12-18,frozen vegetables
1174,2015-02-11,rolls/buns
4103,2015-06-19,whole milk
4408,2015-03-13,whole milk
2588,2015-12-28,citrus fruit
2598,2015-11-11,pastry
1518,2015-12-11,frankfurter
2702,2015-04-08,tropical fruit
1001,2015-01-20,frankfurter
2270,2015-09-30,berries
2838,2015-11-10,rolls/buns
1683,2015-05-26,root vegetables
4040,2015-04-03,yogurt
3897,2015-08-23,other vegetables
2200,2015-03-11,berries
4073,2015-01-29,berries
3700,2015-04-19,other vegetables
3973,2015-06-10,rolls/buns
2715,2015-07-06,ham
3967,2015-11-23,whole milk
4002,2015-09-03,tropical fruit
2962,2015-03-01,bottled water
4340,2015-12-25,butter milk
2092,2015-11-06,newspapers
3143,2015-05-24,coffee
2209,2015-10-03,bottled beer
2816,2015-08-22,onions
2659,2015-06-01,hamburger meat
1588,2015-10-13,sausage
1144,2015-10-15,hard cheese
2166,2015-12-10,sausage
3300,2015-10-06,hamburger meat
3944,2015-01-03,onions
4979,2015-04-24,coffee
2630,2015-01-21,shopping bags
4240,2015-04-29,yogurt
2357,2015-07-08,soda
1743,2015-04-18,sliced cheese
2331,2015-02-15,sausage
1643,2015-04-28,yogurt
1291,2015-03-20,domestic eggs
3675,2015-07-04,whole milk
4134,2015-11-06,meat
1363,2015-06-21,dish cleaner
4212,2015-05-01,other vegetables
1500,2015-03-21,whole milk
2622,2015-10-01,other vegetables
3543,2015-03-18,tropical fruit
2525,2015-05-24,baking powder
1264,2015-10-12,specialty bar
3601,2015-07-06,ice cream
1771,2015-03-23,frankfurter
4694,2015-02-06,canned beer
1122,2015-12-21,bottled water
3507,2015-08-12,other vegetables
4524,2015-04-26,citrus fruit
3612,2015-09-27,sausage
3262,2015-06-11,domestic eggs
1897,2015-01-25,pork
1656,2015-10-30,specialty cheese
3953,2015-01-10,pork
1488,2015-06-21,beef
1652,2015-03-17,other vegetables
4953,2015-09-16,chicken
3445,2015-04-30,soda
3180,2015-03-15,whole milk
4934,2015-09-06,rolls/buns
2980,2015-04-27,bottled beer
2763,2015-02-13,root vegetables
4819,2015-03-04,pastry
3169,2015-07-02,berries
1850,2015-03-11,citrus fruit
4285,2015-12-29,whole milk
4366,2015-08-13,soda
2253,2015-06-16,bottled water
3398,2015-03-11,tropical fruit
2215,2015-07-22,salty snack
3737,2015-03-03,bottled water
2649,2015-11-28,chocolate
3203,2015-08-07,citrus fruit
4261,2015-02-16,bottled water
2435,2015-07-17,onions
2046,2015-08-21,dessert
4267,2015-02-11,beef
1086,2015-12-28,rolls/buns
1992,2015-01-04,beef
3622,2015-07-26,soda
4700,2015-06-27,coffee
2272,2015-05-16,rolls/buns
1663,2015-05-19,pork
2519,2015-06-03,soda
2639,2015-10-30,sausage
1466,2015-04-19,beef
4122,2015-10-23,whole milk
3598,2015-04-15,pork
3097,2015-08-10,berries
1873,2015-09-19,sausage
1537,2015-02-01,bottled water
3960,2015-03-25,tropical fruit
1136,2015-06-15,herbs
2453,2015-12-21,yogurt
1746,2015-02-15,Instant food products
3572,2015-06-09,specialty chocolate
3246,2015-06-24,coffee
3207,2015-11-26,bottled beer
1042,2015-02-12,beef
1176,2015-03-30,whole milk
3054,2015-02-23,frankfurter
4486,2015-12-02,frankfurter
1580,2015-12-05,other vegetables
1623,2015-11-02,frankfurter
4169,2015-11-24,whole milk
2254,2015-01-24,frankfurter
4095,2015-11-01,other vegetables
1264,2015-11-17,bottled water
3375,2015-01-06,pork
3242,2015-05-23,bottled water
2227,2015-06-07,other vegetables
3847,2015-12-03,hamburger meat
3897,2015-05-31,hamburger meat
1799,2015-09-27,shopping bags
2920,2015-04-26,whole milk
3713,2015-01-31,ice cream
4230,2015-11-05,pastry
1455,2015-03-18,ham
3687,2015-03-18,frankfurter
3869,2015-08-01,sausage
2988,2015-10-14,bottled beer
4242,2015-03-30,bottled water
4118,2015-12-24,meat
4996,2015-10-24,dessert
4489,2015-03-04,other vegetables
1199,2015-11-09,beverages
4108,2015-05-12,ham
3484,2015-06-05,specialty bar
1239,2015-08-31,brown bread
4839,2015-12-19,whole milk
4748,2015-05-07,rolls/buns
4426,2015-06-06,bottled beer
3571,2015-12-11,pet care
2852,2015-06-08,citrus fruit
3638,2015-05-26,pork
3635,2015-03-10,other vegetables
2723,2015-05-07,white wine
3495,2015-03-11,whole milk
2813,2015-11-16,pip fruit
2799,2015-09-02,sugar
4723,2015-05-22,tropical fruit
3313,2015-04-08,root vegetables
4748,2015-12-15,soda
2991,2015-02-16,whole milk
1483,2015-04-01,tropical fruit
3950,2015-10-01,white bread
1634,2015-01-16,brown bread
2694,2015-11-21,tropical fruit
2707,2015-10-18,domestic eggs
2813,2015-07-16,coffee
2276,2015-01-11,soda
4726,2015-02-06,whole milk
